"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status","perspective"
"1","No Policy",39125.6944055441,4.83796545144591,NA,NA,NA,"ND","healthcare"
"2","Policy",40637.7445213055,4.8381576973548,1512.05011576139,0.000192245908889888,7865187.48041315,"ND","healthcare"
"3","No Policy",41491.4521558495,4.83796545144591,NA,NA,NA,"ND","societ"
"4","Policy",42983.8695863309,4.8381576973548,1492.41743048138,0.000192245908889888,7763064.70758859,"ND","societ"
