"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","SEQN",89968.7631692094,89968.7631692094,89968.7631692094,1051.59075725991,87907.64528498,92029.8810534388,89968.7631692094,89968.7631692094,89968.7631692094,1051.59075725991,87907.64528498,92029.8810534388,0,0,0,0,0,0
"2","Incident First CVD",0.048750536337703,0.0454158345744953,0.0520852381009107,0.0195756379024025,0.0103822860489941,0.087118786626412,0.0439551895416308,0.039824303116352,0.0480860759669096,0.0183591555291717,0.00797124470445423,0.0799391343788073,-0.00479534679607221,-0.00559153145814328,-0.00399916213400114,0.00510574607664886,-0.014802609106304,0.00521191551415956
"3","Incident Recurrent CVD",0.137237349617106,0.101423965254737,0.173050733979476,0.0714980187663851,-0.00289876716500834,0.277373466399221,0.126938546894448,0.08510069473975,0.168776399049146,0.0772809506924865,-0.0245321164628258,0.278409210251721,-0.0102988027226585,-0.0163232705149866,-0.00427433493033046,0.0124499444894686,-0.034700693922017,0.0141030884766999
"4","Incident CVD",0.185987885954809,0.146839799829232,0.225135972080387,0.0716846826816967,0.0454859078986838,0.326489864010935,0.170893736436079,0.124924997856102,0.216862475016055,0.0793882117713358,0.0152928413642605,0.326494631507897,-0.0150941495187308,-0.0219148019731299,-0.0082734970643316,0.0128264549086258,-0.0402340011396373,0.0100457021021758
"5","Life Years",4.72805528326921,4.72055136304666,4.73555920349176,0.0880448282668851,4.55548741986612,4.90062314667231,4.7356395584397,4.71295547528785,4.75832364159154,0.0929616185073227,4.55343478616534,4.91784433071405,0.00758427517048204,-0.00759588775881106,0.0227644380997752,0.0271223061200783,-0.0455754448248715,0.0607439951658356
"6","effect_disc",4.0684645691808,4.04107017271684,4.09585896564475,0.10152989516926,3.86946597464905,4.26746316371255,4.07608875812858,4.03856356771856,4.1136139485386,0.10799674664984,3.86441513469489,4.28776238156227,0.00762418894778209,-0.00250660499827938,0.0177549828938436,0.0185096608593329,-0.0286547463365105,0.0439031242320746
"7","HCE_disc",85792.619101757,84796.4904036549,86788.747799859,5055.92442078314,75883.007237022,95702.2309664919,84012.7456921663,82434.3243108026,85591.1670735301,5374.10729996917,73479.4953842268,94545.9960001059,-1779.87340959062,-2362.16609285233,-1197.58072632891,971.248193271095,-3683.51986840197,123.773049220725
"8","Prod_cost",14599.6655206158,13955.7509509575,15243.5800902741,3048.41192288165,8624.77815176774,20574.5528894638,14556.7457254264,13846.5495426122,15266.9419082407,3083.20039663834,8513.67294801529,20599.8185028376,-42.9197951893353,-109.201408345315,23.3618179666446,156.974155213386,-350.589139407571,264.7495490289
"9","Food_cost",0,0,0,0,0,0,1626.96746436003,1596.09197167298,1657.84295704708,55.13915059615,1518.89472919158,1735.04019952849,1626.96746436003,1596.09197167298,1657.84295704708,55.13915059615,1518.89472919158,1735.04019952849
"10","Food_cost_disc",0,0,0,0,0,0,1536.49968459945,1507.21422979462,1565.78513940427,52.0599621710596,1434.46215874417,1638.53721045472,1536.49968459945,1507.21422979462,1565.78513940427,52.0599621710596,1434.46215874417,1638.53721045472
"11","Prod_cost_disc",13775.5753072024,13165.6281134021,14385.5225010028,2880.41836458986,8129.9553126063,19421.1953017986,13738.590024803,13068.977362939,14408.202686667,2911.74505589444,8031.56971524994,19445.6103343561,-36.9852823993931,-96.6507504630076,22.6801856642215,143.756169165146,-318.747373963079,244.776809164292
"12","Admin_costs",0,0,0,0,0,0,329.454620747629,322.933362126031,335.975879369227,11.3063440419715,307.294186425365,351.615055069893,329.454620747629,322.933362126031,335.975879369227,11.3063440419715,307.294186425365,351.615055069893
"13","Total_cost_health",85792.619101757,84796.4904036549,86788.747799859,5055.92442078314,75883.007237022,95702.2309664919,85878.6999975134,84336.0853295761,87421.3146654507,5348.43289697215,75395.771519448,96361.6284755788,86.0808957564574,-460.405074078827,632.566865591742,923.823622712183,-1724.61340475942,1896.77519627234
"14","Total_cost_societ",99568.1944089594,97962.118517057,101174.270300862,7817.12415815814,84246.6310589694,114889.757758949,99617.2900223164,97405.0626925151,101829.517352118,8137.33740538672,83668.1087077585,115566.471336874,49.0956133570655,-557.055824541833,655.247051255963,1052.43645559412,-2013.67983960741,2111.87106632154
