"","Total_cost_health","Total_cost_societ","effect_disc","cat","catvar"
"simulation_ 1",-104223922248.651,-124662069199.603,176766.16039043,1,"age_cat"
"simulation_ 2",-79350199456.0485,-87932330320.257,-64020.1666529075,1,"age_cat"
"simulation_ 11",-9395552525.50134,-14012308084.2451,231582.436520198,2,"age_cat"
"simulation_ 21",-5067565657.98465,-8445904482.95864,368821.893028133,2,"age_cat"
"simulation_ 12",-57900748568.9203,-68855781528.0042,216042.959492368,1,"Female"
"simulation_ 22",-46043419032.1451,-56768169671.0827,791774.695101669,1,"Female"
"simulation_ 13",-55718726205.2316,-69818595755.8439,192305.63741826,0,"Female"
"simulation_ 23",-38374346081.8881,-39610065132.1329,-486972.968726444,0,"Female"
"simulation_ 14",-16303850796.4417,-19550125425.048,-55250.625621943,4,"Race"
"simulation_ 24",6744857.5691927,-1071927607.89488,173606.426621549,4,"Race"
"simulation_ 15",-27323574591.8619,-32657293737.2506,-431680.161398756,3,"Race"
"simulation_ 25",-18748123658.3419,-20590674051.7778,302446.014218008,3,"Race"
"simulation_ 16",-6324327001.0857,-6420476597.50271,555450.294277055,2,"Race"
"simulation_ 26",-9145485730.54854,-10714065808.9545,223690.665530979,2,"Race"
"simulation_ 17",-63667722384.7626,-80046481524.0468,339829.089654271,1,"Race"
"simulation_ 27",-56530900582.7119,-64001567334.5885,-394941.37999531,1,"Race"
"simulation_ 18",-24777106400.3744,-30471682870.0314,205640.863411591,1,"pir_cat"
"simulation_ 28",-11926321682.5791,-14643324707.1634,418899.660761509,1,"pir_cat"
"simulation_ 19",-42294897905,-51070899667.6601,183649.478645942,2,"pir_cat"
"simulation_ 29",-42772372846.2155,-48371851728.4478,-698110.488670277,2,"pir_cat"
"simulation_ 110",-46547470468.7775,-57131794746.1567,19058.2548530943,3,"pir_cat"
"simulation_ 210",-29719070585.2386,-33363058367.6044,584012.554283994,3,"pir_cat"
"simulation_ 111",-49846640842.698,-61101821000.0496,-290840.848954412,4,"edu"
"simulation_ 211",-57001519060.6503,-69100292020.1846,-721647.220670399,4,"edu"
"simulation_ 112",-10362563311.1919,-13457029375.8622,1327905.19325777,5,"edu"
"simulation_ 212",-16278970540.4332,-16876373846.0453,-23464.37192324,5,"edu"
"simulation_ 113",-3355684992.88239,-3719965409.79021,108283.471332804,1,"edu"
"simulation_ 213",-4806996499.13398,-5703587192.4991,-81007.1724267809,1,"edu"
"simulation_ 114",-34749353473.9417,-40760611368.0722,-254375.817317452,3,"edu"
"simulation_ 214",-2353681538.41387,305040635.261353,663502.418986018,3,"edu"
"simulation_ 115",-15305232153.4379,-19634950130.074,-482623.401408084,2,"edu"
"simulation_ 215",-3976597475.40175,-5003022379.74801,467418.072409627,2,"edu"
