"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"48","effect_disc",-0.0249787961544175,-0.0407911788689273,-0.00916641343990764,0.0421439398822101,-0.107580918323549,0.0576233260147144,0,"Female"
"49","HCE_disc",-3145.79531092245,-3829.2635900051,-2462.32703183981,1496.45048659098,-6078.83826464077,-212.752357204138,0,"Female"
"50","Prod_cost",-936.94216250819,-1273.08916166645,-600.795163349929,746.748934780606,-2400.57007467818,526.685749661798,0,"Female"
"51","Food_cost",5985.52439924549,5845.75264780655,6125.29615068441,307.746899136227,5382.34047693848,6588.70832155249,0,"Female"
"52","Food_cost_disc",4651.96588800684,4549.91830931372,4754.01346669997,220.136258522594,4220.49882130256,5083.43295471113,0,"Female"
"53","Prod_cost_disc",-678.481190913285,-948.618175583749,-408.344206242821,568.562600262146,-1792.86388742709,435.901505600521,0,"Female"
"54","Admin_costs",878.648286005278,859.599277965576,897.697294044981,40.0272392279922,800.194897118414,957.101674892143,0,"Female"
"55","Total_cost_health",2384.81886308966,1822.44717073984,2947.19055543948,1440.73704679607,-439.025748630642,5208.66347480997,0,"Female"
"56","Total_cost_societ",1706.33767217638,873.828995156094,2538.84634919666,1966.52720632515,-2148.05565222092,5560.73099657367,0,"Female"
"57","SEQN",0,0,0,0,0,0,4,"Race"
"58","Incident First CVD",-0.00643643380588948,-0.0104656969983614,-0.00240717061341752,0.0157658693082276,-0.0373375376500155,0.0244646700382366,4,"Race"
"59","Incident Recurrent CVD",0,0,0,0,0,0,4,"Race"
"60","Incident CVD",-0.00643643380588948,-0.0104656969983614,-0.00240717061341752,0.0157658693082276,-0.0373375376500155,0.0244646700382366,4,"Race"
"61","Life Years",-0.0498957816899757,-0.134365168089369,0.0345736047094179,0.183407191112599,-0.40937387627067,0.309582312890719,4,"Race"
"62","effect_disc",-0.0267891470883532,-0.078274470005929,0.0246961758292225,0.107479329103725,-0.237448632131654,0.183870337954948,4,"Race"
"63","HCE_disc",-2486.672756916,-2817.817611231,-2155.527902601,1740.1194713817,-5897.30692082413,923.961406992143,4,"Race"
"64","Prod_cost",-1280.37078910242,-1560.49816576546,-1000.24341243938,1229.97510993337,-3691.12200457183,1130.38042636699,4,"Race"
"65","Food_cost",6219.29475039472,6132.5744086608,6306.01509212863,355.864393584339,5521.80053896941,6916.78896182002,4,"Race"
"66","Food_cost_disc",4829.83735895907,4752.12244333718,4907.55227458096,255.081247198362,4329.87811445028,5329.79660346786,4,"Race"
"67","Prod_cost_disc",-964.082352619566,-1137.66915275542,-790.495552483717,909.034978521278,-2745.79091052127,817.626205282139,4,"Race"
"68","Admin_costs",910.139092651772,894.65727166386,925.620913639683,46.6348600434339,818.734766966641,1001.5434183369,4,"Race"
"69","Total_cost_health",3253.30369469484,2828.96210377003,3677.64528561965,1871.81804039771,-415.459664484679,6922.06705387436,4,"Race"
"70","Total_cost_societ",2289.22134207528,2038.46655128632,2539.97613286423,2534.52732429578,-2678.45221354444,7256.894897695,4,"Race"
"71","SEQN",0,0,0,0,0,0,2,"Race"
"72","Incident First CVD",-0.0198292627707277,-0.030185547862746,-0.00947297767870943,0.0183568915305847,-0.0558087701706736,0.0161502446292182,2,"Race"
"73","Incident Recurrent CVD",-0.0324872100904276,-0.0338188634533311,-0.0311555567275241,0.015564018245935,-0.0629926858524602,-0.00198173432839503,2,"Race"
"74","Incident CVD",-0.0523164728611553,-0.0640044113160771,-0.0406285344062335,0.0281139067343417,-0.107419730060465,0.00278678433815447,2,"Race"
"75","Life Years",-0.153935549588927,-0.209348736259058,-0.0985223629187951,0.129120286141838,-0.407011310426929,0.0991402112490752,2,"Race"
"76","effect_disc",-0.0640759558549892,-0.0852376966968133,-0.0429142150131652,0.0593936036567759,-0.18048741902227,0.0523355073122916,2,"Race"
"77","HCE_disc",-5006.27777628383,-5932.50308768485,-4080.05246488282,2014.81342843803,-8955.31209602236,-1057.2434565453,2,"Race"
"78","Prod_cost",-2025.24740772687,-2740.12178199369,-1310.37303346006,1372.9136012231,-4716.15806612415,665.663250670401,2,"Race"
"79","Food_cost",5873.54818465979,5733.18653050817,6013.90983881142,285.592686349353,5313.78651941506,6433.30984990453,2,"Race"
"80","Food_cost_disc",4580.99494377698,4474.31335990023,4687.67652765374,208.736987877164,4171.87044753774,4990.11944001622,2,"Race"
"81","Prod_cost_disc",-1418.8342878142,-1943.13568637247,-894.53288925594,992.806132647899,-3364.73430780409,527.065732175678,2,"Race"
"82","Admin_costs",866.080956488203,846.204357828303,885.957555148102,38.1263369244177,791.353336116344,940.808576860061,2,"Race"
"83","Total_cost_health",440.798123981349,-358.869004883011,1240.46525284571,1902.70194477939,-3288.49768778626,4170.09393574896,2,"Race"
"84","Total_cost_societ",-978.036163832857,-2302.00469125548,345.932363589767,2825.48285059164,-6515.98255099247,4559.91022332676,2,"Race"
"85","SEQN",0,0,0,0,0,0,3,"Race"
"86","Incident First CVD",0.00421591728682518,0.000210795864341258,0.0082210387093091,0.00720179375373235,-0.00989959847049023,0.0183314330441406,3,"Race"
"87","Incident Recurrent CVD",0.00540408255759799,0.00540408255759799,0.005404082557598,0.00512488143103317,-0.00464068504722703,0.015448850162423,3,"Race"
"88","Incident CVD",0.00961999984442317,0.00561487842193925,0.0136251212669071,0.00987329564176752,-0.00973165961344117,0.0289716593022875,3,"Race"
"89","Life Years",0.0422386016753626,-0.0451785258023537,0.129655729153079,0.151367781988697,-0.254442251022483,0.338919454373208,3,"Race"
"90","effect_disc",0.0177661351504463,-0.0257904911437887,0.0613227614446813,0.0759252741858911,-0.1310474022539,0.166579672554793,3,"Race"
"91","HCE_disc",-1208.04050077739,-1869.58536889836,-546.495632656417,1237.56595915517,-3633.66978072152,1217.58877916674,3,"Race"
"92","Prod_cost",479.365352731525,166.231857534483,792.498847928568,607.691472148716,-711.709932679957,1670.44063814301,3,"Race"
"93","Food_cost",6099.30329132662,5992.56661346622,6206.03996918701,349.937700735523,5413.42539788499,6785.18118476824,3,"Race"
"94","Food_cost_disc",4727.32970406958,4648.27577721398,4806.38363092518,254.045534524495,4229.40045640157,5225.25895173759,3,"Race"
"95","Prod_cost_disc",321.418660740294,117.314250797569,525.523070683018,400.198100560418,-462.969616358125,1105.80693783871,3,"Race"
"96","Admin_costs",891.338073591298,875.973721987153,906.702425195444,46.3994294520315,800.395191865317,982.28095531728,3,"Race"
"97","Total_cost_health",4410.62727688349,3654.66413030277,5166.59042346421,1418.82303981372,1629.7341188486,7191.52043491838,3,"Race"
"98","Total_cost_societ",4732.04593762378,3771.97838110034,5692.11349414723,1757.38351200318,1287.57425409756,8176.51762115001,3,"Race"
"99","SEQN",0,0,0,0,0,0,1,"Race"
"100","Incident First CVD",-0.00927679239393447,-0.0124187961260369,-0.00613478866183209,0.00996948898380556,-0.0288169908021934,0.0102634060143244,1,"Race"
"101","Incident Recurrent CVD",-0.00369375183258412,-0.012787910772681,0.00540040710751275,0.0155318588773087,-0.0341361952321091,0.0267486915669409,1,"Race"
"102","Incident CVD",-0.0129705442265186,-0.0252067068987178,-0.000734381554319333,0.0213114431460698,-0.0547409727928153,0.0287998843397781,1,"Race"
"103","Life Years",-0.0223700431503288,-0.066805052421462,0.0220649661208044,0.081842797836173,-0.182781926909228,0.13804184060857,1,"Race"
"104","effect_disc",-0.0140593587812915,-0.0390067838122127,0.0108880662496297,0.0447124590122193,-0.101695778445241,0.0735770608826583,1,"Race"
"105","HCE_disc",-2726.84140662212,-3633.48961043864,-1820.19320280561,1578.69624134782,-5821.08603966385,367.403226419603,1,"Race"
"106","Prod_cost",-204.190081259775,-424.498808808373,16.1186462888236,434.047247149171,-1054.92268567215,646.5425231526,1,"Race"
"107","Food_cost",6155.18957237914,6046.54356273109,6263.8355820272,317.302278808941,5533.27710591362,6777.10203884467,1,"Race"
"108","Food_cost_disc",4766.27695091141,4684.09702850308,4848.45687331974,227.270424171008,4320.82691953623,5211.72698228658,1,"Race"
"109","Prod_cost_disc",-198.089202602203,-382.241908215431,-13.9364969889755,351.669698178692,-887.361811032439,491.183405828033,1,"Race"
"110","Admin_costs",899.22412015261,883.432049495298,915.016190809922,41.1384427261645,818.592772409328,979.855467895892,1,"Race"
"111","Total_cost_health",2938.65966444189,2129.98345369102,3747.33587519276,1496.27782444133,5.95512853687842,5871.3642003469,1,"Race"
