"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","SEQN",149586055827.675,149586055827.675,149586055827.675,768741559.362093,148079322371.326,151092789284.025,149586055827.675,149586055827.675,149586055827.675,768741559.362093,148079322371.326,151092789284.025,0,0,0,0,0,0
"2","Incident First CVD",15632.4471124,12791.56879599,18473.32542881,10792.0998346594,-5520.0685635324,36784.9627883324,14358.5085294,10307.38855914,18409.62849966,11411.8297063975,-8008.67769513912,36725.6947539391,-1273.938583,-2484.18023685,-63.6969291499998,2476.7829321677,-6128.43313004869,3580.55596404869
"3","Incident Recurrent CVD",19363.5801143,16814.798443905,21912.361784695,11844.1173890827,-3850.88996830217,42578.0501969022,13269.4414739,4931.228095125,21607.654852675,15211.4284711457,-16544.9583295457,43083.8412773457,-6094.1386404,-11883.57034878,-304.706932019999,11484.901810022,-28604.5461880432,16416.2689072432
"4","Incident CVD",34996.0272267,29606.367239895,40385.687213505,19582.5186898324,-3385.7094053715,73377.7638587715,27627.9500033,15238.616654265,40017.283352335,23604.4463409864,-18636.7648250334,73892.6648316334,-7368.0772234,-14367.75058563,-368.403861169999,12802.4214783011,-32460.8233208701,17724.6688740701
"5","Life Years",6306605.1971109,6257432.17565237,6355778.21856943,100357.029444442,6109905.41939979,6503304.97482201,6303651.7402775,6259028.94505956,6348274.53549543,95046.5006891523,6117360.59892676,6489942.88162824,-2953.4568334,-7503.68307399,1596.76940719,9898.95141622978,-22355.4016092104,16448.4879424104
"6","effect_disc",6245054.4452134,6195861.95812833,6294246.93229847,104176.732108448,6040868.05028084,6449240.84014596,6245302.60452333,6196564.54166251,6294040.66738415,102804.804959914,6043805.1868019,6446800.02224476,248.159309926912,-206.264914322218,702.583534176041,5926.28347006738,-11367.3562914052,11863.674911259
"7","HCE_disc",50505133660.3444,48023914006.9192,52986353313.7696,5275644335.03432,40164870763.6771,60845396557.0117,49974634293.254,47581849147.2521,52367419439.2559,5132241963.14336,39915440045.493,60033828541.015,-530499367.090428,-618933874.513715,-442064859.667142,280508604.519495,-1080296231.94864,19297497.7677815
"8","Prod_cost",3237868139.7915,3057477604.05653,3418258675.52648,1551872005.47067,196199009.068989,6279537270.51402,3211086053.49094,3030940011.80067,3391232095.18122,1558043283.39893,157321218.029039,6264850888.95285,-26782086.3005595,-27026580.3452649,-26537592.2558541,46298066.4849453,-117526296.611052,63962124.0099334
"9","Food_cost",0,0,0,0,0,0,2166347735.85903,2099541595.42775,2233153876.29031,103028523.722728,1964411829.36248,2368283642.35558,2166347735.85903,2099541595.42775,2233153876.29031,103028523.722728,1964411829.36248,2368283642.35558
"10","Food_cost_disc",0,0,0,0,0,0,2044757105.02449,1982132780.32458,2107381429.7244,96548252.6084114,1855522529.912,2233991680.13697,2044757105.02449,1982132780.32458,2107381429.7244,96548252.6084114,1855522529.912,2233991680.13697
"11","Prod_cost_disc",3053822128.97512,2881523665.25373,3226120592.69651,1466093069.70595,180279712.351457,5927364545.59879,3028479412.14303,2856661790.56496,3200297033.72111,1471374432.94374,144585523.573301,5912373300.71276,-25342716.8320927,-25823558.9754084,-24861874.688777,42983620.540319,-109590613.091118,58905179.4269326
"12","Admin_costs",0,0,0,0,0,0,437561759.660526,425043595.491488,450079923.829563,19251628.5658595,399828567.671441,475294951.64961,437561759.660526,425043595.491488,450079923.829563,19251628.5658595,399828567.671441,475294951.64961
"13","Total_cost_health",50505133660.3444,48023914006.9192,52986353313.7696,5275644335.03432,40164870763.6771,60845396557.0117,52456953157.939,50139310500.806,54774595815.072,5048669889.00219,42561560175.4947,62352346140.3833,1951819497.59458,1788242501.30235,2115396493.88682,343106118.72708,1279331504.88951,2624307490.29966
"14","Total_cost_societ",53558955789.3195,50905437672.173,56212473906.4661,6118691894.40319,41566319676.2893,65551591902.3498,55485432570.082,52995972291.371,57974892848.7931,5923805445.23438,43874773897.4227,67096091242.7414,1926476780.76249,1762418942.32694,2090534619.19804,371138616.327315,1199045092.76095,2653908468.76403
