"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"1","SEQN",0,0,0,0,0,0,1,"age_cat"
"2","Incident First CVD",-0.0971015282271126,-0.113357835000892,-0.0808452214533334,0.0343074937190748,-0.164344215916499,-0.029858840537726,1,"age_cat"
"3","Incident Recurrent CVD",-0.133901317569782,-0.171371647401407,-0.0964309877381568,0.0747524643372292,-0.280416147670751,0.0126135125311871,1,"age_cat"
"4","Incident CVD",-0.231002845796895,-0.284729482402299,-0.17727620919149,0.100805058301421,-0.428580760067681,-0.0334249315261086,1,"age_cat"
"5","Life Years",0.121563653441311,-0.268369333911965,0.511496640794586,1.07101420778039,-1.97762419380825,2.22075150069087,1,"age_cat"
"6","effect_disc",0.0138783941247517,-0.0142790690718702,0.0420358573213736,0.325921631473282,-0.62492800356288,0.652684791812383,1,"age_cat"
"7","HCE_disc",-23581.8734384733,-26515.8187552136,-20647.9281217329,5643.04082921809,-34642.2334637407,-12521.5134132058,1,"age_cat"
"8","Prod_cost",-6939.17547478535,-9635.70820974077,-4242.64273982992,4801.68240187046,-16350.4729824515,2472.12203288077,1,"age_cat"
"9","Food_cost",1154.74203433838,1124.96296689432,1184.52110178244,72.4996699431103,1012.64268124988,1296.84138742687,1,"age_cat"
"10","Food_cost_disc",984.937373018599,959.715914047856,1010.15883198934,55.8056032158721,875.55839071549,1094.31635532171,1,"age_cat"
"11","Prod_cost_disc",-3572.23205700969,-4958.67015222997,-2185.79396178941,2399.44582497387,-8275.14587395847,1130.68175993909,1,"age_cat"
"12","Admin_costs",0,0,0,0,0,0,1,"age_cat"
"13","Total_cost_health",-22596.9360654547,-25505.6599232243,-19688.2122076851,5616.84205857098,-33605.9465002538,-11587.9256306555,1,"age_cat"
"14","Total_cost_societ",-26169.1681224644,-30464.3300754542,-21874.0061694745,7755.38488218815,-41369.7224915531,-10968.6137533756,1,"age_cat"
"15","SEQN",0,0,0,0,0,0,2,"age_cat"
"16","Incident First CVD",-0.124308632773375,-0.153820417814324,-0.0947968477324272,0.0780340362958758,-0.277255343913292,0.0286380783665411,2,"age_cat"
"17","Incident Recurrent CVD",-0.1134361154529,-0.125092446187927,-0.101779784717873,0.0833434260183239,-0.276789230448815,0.0499169995430147,2,"age_cat"
"18","Incident CVD",-0.237744748226276,-0.255600202532197,-0.219889293920355,0.118699184527587,-0.470395149900347,-0.00509434655220467,2,"age_cat"
