"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status","perspective"
"1","Policy",149158.020200544,17.4222970394136,NA,NA,NA,"ND","healthcare"
"2","No Policy",169146.018133054,17.3503184196578,NA,NA,NA,"D","healthcare"
"3","Policy",164499.896326198,17.4222970394136,NA,NA,NA,"ND","societ"
"4","No Policy",188223.874337,17.3503184196578,NA,NA,NA,"D","societ"
