"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"1","SEQN",0,0,0,0,0,0,1,"age_cat"
"2","Incident First CVD",-1273.938583,-2484.18023685,-63.6969291499998,2450.82698743571,-6077.559478374,3529.682312374,1,"age_cat"
"3","Incident Recurrent CVD",0,0,0,0,0,0,1,"age_cat"
"4","Incident CVD",-1273.938583,-2484.18023685,-63.6969291499998,2450.82698743571,-6077.559478374,3529.682312374,1,"age_cat"
"5","Life Years",-2953.4568334,-7503.68307399,1596.76940719,9822.76573516973,-22206.0776743327,16299.1640075327,1,"age_cat"
"6","effect_disc",-1181.37226794216,-2993.8514911669,631.106955282588,5663.24609157372,-12281.3346074266,9918.59007154233,1,"age_cat"
"7","HCE_disc",-433718438.714018,-559746853.641967,-307690023.786068,328299570.562435,-1077185597.01639,209748719.588354,1,"age_cat"
"8","Prod_cost",-33137642.8070699,-38930927.4435493,-27344358.1705904,42591988.3373681,-116617939.948311,50342654.3341716,1,"age_cat"
"9","Food_cost",1786601822.27444,1742354389.38066,1830849255.16821,67003764.604181,1655274443.65024,1917929200.89863,1,"age_cat"
"10","Food_cost_disc",1686064729.40197,1644311756.5839,1727817702.22005,63204362.6377936,1562184178.6319,1809945280.17205,1,"age_cat"
"11","Prod_cost_disc",-30989546.4704234,-35873192.4835219,-26105900.457325,39571108.2889547,-108548918.716775,46569825.7759278,1,"age_cat"
"12","Admin_costs",360216295.238761,351359432.859924,369073157.617598,13385446.2712439,333980820.547123,386451769.930399,1,"age_cat"
"13","Total_cost_health",1612562585.92671,1435924335.80185,1789200836.05158,377688143.074335,872293825.501018,2352831346.35241,1,"age_cat"
"14","Total_cost_societ",1581573039.45629,1409818435.34453,1753327643.56805,397202446.215536,803056244.873839,2360089834.03874,1,"age_cat"
"15","SEQN",0,0,0,0,0,0,2,"age_cat"
"16","Incident First CVD",0,0,0,0,0,0,2,"age_cat"
"17","Incident Recurrent CVD",-6094.1386404,-11883.57034878,-304.706932019999,12043.2725706536,-29698.9528788812,17510.6755980812,2,"age_cat"
"18","Incident CVD",-6094.1386404,-11883.57034878,-304.706932019999,12043.2725706536,-29698.9528788812,17510.6755980812,2,"age_cat"
"19","Life Years",0,0,0,0,0,0,2,"age_cat"
"20","effect_disc",1429.53157786907,71.4765788934531,2787.58657684468,2825.04869949984,-4107.56387315063,6966.62702888876,2,"age_cat"
"21","HCE_disc",-96780928.3764103,-134374835.881073,-59187020.8717472,80688827.4136883,-254931030.107239,61369173.3544187,2,"age_cat"
"22","Prod_cost",6355556.50651037,317777.825325517,12393335.1876952,12559888.0929088,-18261824.155591,30972937.1686117,2,"age_cat"
"23","Food_cost",379745913.584595,357187206.047085,402304621.122104,39727990.6908179,301879051.830591,457612775.338598,2,"age_cat"
"24","Food_cost_disc",358692375.622515,337821023.740679,379563727.504351,36840941.5081593,286484130.266523,430900620.978507,2,"age_cat"
"25","Prod_cost_disc",5646829.63833072,282341.481916535,11011317.7947449,11159297.8938199,-16225394.2335564,27519053.5102178,2,"age_cat"
"26","Admin_costs",77345464.4217647,73684162.6315643,81006766.211965,6650563.11377799,64310360.7187598,90380568.1247695,2,"age_cat"
"27","Total_cost_health",339256911.667869,326195657.835242,352318165.500496,69043552.3058257,203931549.148451,474582274.187287,2,"age_cat"
"28","Total_cost_societ",344903741.3062,337206975.629988,352600506.982412,60760682.6606657,225812803.291295,463994679.321105,2,"age_cat"
"29","SEQN",0,0,0,0,0,0,1,"Female"
"30","Incident First CVD",0,0,0,0,0,0,1,"Female"
"31","Incident Recurrent CVD",0,0,0,0,0,0,1,"Female"
"32","Incident CVD",0,0,0,0,0,0,1,"Female"
"33","Life Years",0,0,0,0,0,0,1,"Female"
"34","effect_disc",-180.149490127161,-351.291505747963,-9.007474506358,366.398372189395,-898.290299618375,537.991319364053,1,"Female"
"35","HCE_disc",-219593729.275737,-261510453.717495,-177677004.833979,117034542.461559,-448981432.500393,9793973.94891952,1,"Female"
"36","Prod_cost",-3615735.36208032,-7050683.95605662,-180786.768104015,7353890.09426969,-18029359.9468489,10797889.2226883,1,"Female"
"37","Food_cost",1039453565.80344,1013056202.29736,1065850929.30952,40418683.3462391,960232946.444809,1118674185.16207,1,"Female"
"38","Food_cost_disc",980787832.919398,955951060.162625,1005624605.67617,38014078.0639969,906280239.913965,1055295425.92483,1,"Female"
"39","Prod_cost_disc",-3308910.05903608,-6452374.61512035,-165445.502951803,6729851.18357072,-16499418.3788347,9881598.26076253,1,"Female"
"40","Admin_costs",209331692.890421,204087935.22819,214575450.552652,8014878.84875795,193622530.346856,225040855.433987,1,"Female"
"41","Total_cost_health",970525796.534083,898528541.67332,1042523051.39485,146800835.835987,682796158.295548,1258255434.77262,1,"Female"
"42","Total_cost_societ",967216886.475046,892076167.058199,1042357605.89189,150834068.155877,671582112.889526,1262851660.06057,1,"Female"
"43","SEQN",0,0,0,0,0,0,0,"Female"
"44","Incident First CVD",-1273.938583,-2484.18023685,-63.6969291499998,2410.37684192467,-5998.27719317236,3450.40002717236,0,"Female"
"45","Incident Recurrent CVD",-6094.1386404,-11883.57034878,-304.706932019999,11679.3565252378,-28985.677429866,16797.400149066,0,"Female"
"46","Incident CVD",-7368.0772234,-14367.75058563,-368.403861169999,12941.0580692282,-32732.5510390873,17996.3965922873,0,"Female"
"47","Life Years",-2953.4568334,-7503.68307399,1596.76940719,9688.47388261806,-21942.8656433314,16035.9519765314,0,"Female"
"48","effect_disc",428.308800054072,-197.257439815859,1053.875039924,5951.41459936435,-11236.4638147001,12093.0814148082,0,"Female"
"49","HCE_disc",-310905637.814691,-357423420.79622,-264387854.833163,235485689.354057,-772457588.948643,150646313.31926,0,"Female"
"50","Prod_cost",-23166350.9384792,-26356805.4877501,-19975896.3892082,45369952.9858767,-112091458.790797,65758756.9138391,0,"Female"
"51","Food_cost",1126894170.05559,1086485393.13039,1167302946.9808,65255086.9942851,998994199.546793,1254794140.56439,0,"Female"
"52","Food_cost_disc",1063969272.10509,1026181720.16195,1101756824.04823,60991938.5792927,944425072.489674,1183513471.7205,0,"Female"
"53","Prod_cost_disc",-22033806.7730566,-24696429.1858252,-19371184.3602881,42086047.398023,-104522459.673182,60454846.1270684,0,"Female"
"54","Admin_costs",228230066.770104,220955660.263298,235504473.276911,11728293.62464,205242611.26581,251217522.274399,0,"Female"
"55","Total_cost_health",981293701.0605,889713959.629027,1072873442.49197,257850016.212839,475907669.283336,1486679732.83766,0,"Female"
"56","Total_cost_societ",959259894.287444,870342775.268739,1048177013.30615,289962613.079441,390933172.65174,1527586615.92315,0,"Female"
"57","SEQN",0,0,0,0,0,0,1,"Race"
"58","Incident First CVD",-1273.938583,-2484.18023685,-63.6969291499998,2476.02329571799,-6126.94424260725,3579.06707660725,1,"Race"
"59","Incident Recurrent CVD",-6094.1386404,-11883.57034878,-304.706932019999,11262.6986287302,-28169.0279527112,15980.7506719112,1,"Race"
"60","Incident CVD",-7368.0772234,-14367.75058563,-368.403861169999,12560.6137806786,-31986.88023353,17250.72578673,1,"Race"
"61","Life Years",-5095.754332,-9936.7209474,-254.787716599999,9904.09318287194,-24507.776970429,14316.268306429,1,"Race"
"62","effect_disc",-1407.6020276037,-2083.65707932739,-731.546975880014,5773.856456942,-12724.36068321,9909.15662800261,1,"Race"
"63","HCE_disc",-465298925.779213,-530657221.962744,-399940629.595683,263491783.517899,-981742821.474295,51144969.9158684,1,"Race"
"64","Prod_cost",-26782086.3005595,-27026580.3452649,-26537592.2558541,46263555.7433837,-117458655.557592,63894482.9564726,1,"Race"
