"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","SEQN",39561802801.5833,39561802801.5833,39561802801.5833,462414116.868976,38655471132.5201,40468134470.6465,39561802801.5833,39561802801.5833,39561802801.5833,462414116.868976,38655471132.5201,40468134470.6465,0,0,0,0,0,0
"2","Incident First CVD",21436.9858729333,19970.6234499,22903.3482959667,8607.96013115685,4565.38401586588,38308.5877300007,19328.3366303667,17511.8693544383,21144.803906295,8073.03851985443,3505.18113145196,35151.4921292813,-2108.64924256666,-2458.75409546166,-1758.54438967167,2245.14056127948,-6509.12474267445,2291.82625754112
"3","Incident Recurrent CVD",60347.1335084667,44598.97826111,76095.2887558234,31439.6955065363,-1274.66968434453,121968.936701278,55818.4594659,37421.1758056483,74215.7431261517,33982.6137863522,-10787.4635553503,122424.38248715,-4528.67404256666,-7177.80245546166,-1879.54562967167,5474.59175199133,-15258.8738764697,6201.52579133635
"4","Incident CVD",81784.1193814,64569.60171101,98998.63705179,31521.7768950939,20001.436667016,143566.802095784,75146.7960962667,54933.0451600867,95360.5470324467,34909.235919593,6724.69369386449,143568.898498669,-6637.32328513333,-9636.55655092332,-3638.09001934333,5640.15400305199,-17692.0251311152,4417.37856084857
"5","Life Years",2079059.26637987,2075759.58100434,2082358.95175539,38715.7943590121,2003176.3094362,2154942.22332353,2082394.28609247,2072419.45490911,2092369.11727582,40877.8457094692,2002273.70850191,2162514.86368303,3335.01971260001,-3340.12609522999,10010.16552043,11926.4430058758,-20040.8085789166,26710.8480041166
"6","effect_disc",1789018.62514704,1776972.53634245,1801064.71395164,44645.5586323581,1701513.33022762,1876523.92006647,1792371.19607332,1775870.31142405,1808872.0807226,47489.2156307394,1699292.33343707,1885450.05870957,3352.5709262767,-1102.22491840735,7807.36677096075,8139.21995864144,-12600.3001926605,19305.4420452139
"7","HCE_disc",37725434463.8656,37287408578.7571,38163460348.9741,2223232573.93835,33367898618.9464,42082970308.7848,36942773923.0113,36248697521.0731,37636850324.9495,2363146560.50192,32311006664.4275,41574541181.5951,-782660540.854299,-1038711057.68399,-526610024.024604,427085225.361143,-1619747582.56214,54426500.8535409
"8","Prod_cost",6419884723.87212,6136737325.50257,6703032122.24167,1340472705.22346,3792558221.63413,9047211226.11011,6401011679.34253,6088718386.14595,6713304972.5391,1355770178.36913,3743702129.73902,9058321228.94603,-18873044.5295922,-48018939.3566217,10272850.2974373,69025963.6204761,-154163933.225725,116417844.166541
"9","Food_cost",0,0,0,0,0,0,715423483.910156,701846658.909357,729000308.910956,24246239.7580035,667900853.98447,762946113.835843,715423483.910156,701846658.909357,729000308.910956,24246239.7580035,667900853.98447,762946113.835843
"10","Food_cost_disc",0,0,0,0,0,0,675642249.438209,662764608.942427,688519889.933992,22892233.7566847,630773471.275107,720511027.601311,675642249.438209,662764608.942427,688519889.933992,22892233.7566847,630773471.275107,720511027.601311
"11","Prod_cost_disc",6057509012.95503,5789298027.82538,6325719998.08468,1266601199.25893,3574970662.40753,8540047363.50252,6041245541.08653,5746797966.74028,6335693115.43279,1280376429.01825,3531707740.21077,8550783341.9623,-16263471.8684942,-42500061.0851027,9973117.34811425,63213642.3319079,-140162210.839034,107635267.102045
"12","Admin_costs",0,0,0,0,0,0,144870489.256084,142002907.903203,147738070.608965,4971718.37912311,135125921.233003,154615057.279165,144870489.256084,142002907.903203,147738070.608965,4971718.37912311,135125921.233003,154615057.279165
"13","Total_cost_health",37725434463.8656,37287408578.7571,38163460348.9741,2223232573.93835,33367898618.9464,42082970308.7848,37763286661.7056,37084955481.616,38441617841.7951,2351856801.33844,33153647331.0822,42372925992.3289,37852197.8399955,-202453097.141037,278157492.821028,406231304.040998,-758361158.080361,834065553.760352
"14","Total_cost_societ",43782943476.8206,43076706606.5825,44489180347.0588,3437409980.16059,37045619915.7059,50520267037.9354,43804532202.7921,42831753448.3563,44777310957.2279,3578216776.82051,36791227320.2239,50817837085.3603,21588725.9715018,-244953158.226139,288130610.169142,462785994.280081,-885471822.817458,928649274.760461
