"","Total_cost_health","Total_cost_societ","effect_disc","cat","catvar"
"simulation_ 1",-329.555827132625,-1305438.193119,-7.46008960506272,1,"age_cat"
"simulation_ 2",672.484067482786,2467635.36188982,81.7436994288618,1,"age_cat"
"simulation_ 11",-1081.90646210181,-1284378.59135167,-5.90678897094973,2,"age_cat"
"simulation_ 21",619.904529721775,553955.94201088,-1.32540232731536,2,"age_cat"
"simulation_ 12",-1690.42293895838,-3512341.93374452,-31.8786171138308,0,"Female"
"simulation_ 22",296.112567684137,358955.565842513,48.6424541876416,0,"Female"
"simulation_ 13",309.464357686187,922525.149273847,18.5117385378184,1,"Female"
"simulation_ 23",904.136678112775,2662635.73805819,31.7758429139048,1,"Female"
"simulation_ 14",-22.9347297903979,-40115.8281438943,17.606720725741,1,"Race"
"simulation_ 24",350.30689579357,560760.1761728,49.967856514957,1,"Race"
"simulation_ 15",827.02829312006,903199.820156322,18.9839378229385,3,"Race"
"simulation_ 25",658.165275049593,663334.165646634,-1.32540232731536,3,"Race"
"simulation_ 16",-271.473019879394,-352555.396806496,-8.07450207616867,2,"Race"
"simulation_ 26",1311.17238622937,1618694.43275929,31.7758429139048,2,"Race"
"simulation_ 17",-8000.48968950906,-3100345.3796766,-41.8830350485233,4,"Race"
"simulation_ 27",531.557670720377,178802.529321981,0,4,"Race"
"simulation_ 18",698.120794794039,1434221.89336435,14.2413560611874,2,"pir_cat"
"simulation_ 28",1511.26976545615,3568029.54325116,69.3076111495986,2,"pir_cat"
"simulation_ 19",-1510.26576872642,-4056124.93622682,-27.6082346371999,1,"pir_cat"
"simulation_ 29",-42.9486627411017,-579375.439351699,11.1106859519479,1,"pir_cat"
"simulation_ 110",445.501196034594,32086.2583918002,0,3,"pir_cat"
"simulation_ 210",457.316082648417,32937.2000012393,0,3,"pir_cat"
"simulation_ 111",366.675109929045,629679.819999911,-2.2255491564908,4,"edu"
"simulation_ 211",1115.05660900559,2273196.54683294,36.2063659083784,4,"edu"
"simulation_ 112",-1407.00013916727,-2867652.68097011,-14.0789027387727,3,"edu"
"simulation_ 212",518.805769579946,923404.251018029,0,3,"edu"
"simulation_ 113",-2307.73753626817,-1001160.80592879,-13.5683864041234,2,"edu"
"simulation_ 213",479.556064132991,180282.199945273,0,2,"edu"
"simulation_ 114",-1000.53216435169,-311185.074290304,-4.15860521735542,1,"edu"
"simulation_ 214",-4090.7909252713,-1561576.495924,12.4360882792632,1,"edu"
"simulation_ 115",4317.64068035261,960501.956718623,20.6645649407299,5,"edu"
"simulation_ 215",4786.09623833004,1206284.80202847,31.7758429139048,5,"edu"
