"","Total_cost_health","Total_cost_societ","effect_disc","cat","catvar"
"simulation_ 1",5586661611.67157,4504941651.32953,-28429.7244010983,1,"age_cat"
"simulation_ 2",6027060368.19411,5561826574.43875,-41948.1958921947,1,"age_cat"
"simulation_ 11",-53196310.734566,-142581847.45736,-4206.6055883361,2,"age_cat"
"simulation_ 21",721833348.542035,693045745.619197,1223.11304644933,2,"age_cat"
"simulation_ 12",3958119606.64195,3633041686.24965,3937.45364225759,1,"Female"
"simulation_ 22",4133239679.51929,3985530524.07386,-33401.9778722257,1,"Female"
"simulation_ 13",1575345694.29505,729318117.622515,-36573.7836316919,0,"Female"
"simulation_ 23",2615654037.21685,2269341795.98409,-7323.10497351968,0,"Female"
"simulation_ 14",861723795.402444,594633252.047921,6382.83119641673,4,"Race"
"simulation_ 24",653662733.442646,471684408.053267,-18861.1967062644,4,"Race"
"simulation_ 15",-169823458.74304,-1004517650.73925,-36573.7845473064,2,"Race"
"simulation_ 25",543219653.223428,176031861.505635,-17704.3912712429,2,"Race"
"simulation_ 16",2888040536.02717,3185513414.32321,35288.125921129,3,"Race"
"simulation_ 26",2005215569.82651,2064332293.29661,-15577.947788877,3,"Race"
"simulation_ 17",1953524428.25043,1586730788.24029,-37733.5025596737,1,"Race"
"simulation_ 27",3546795760.24356,3542823757.20244,11418.4529206388,1,"Race"
"simulation_ 18",-62975989.6048846,-695031675.774611,-17123.0954194919,1,"pir_cat"
"simulation_ 28",920715179.406281,747163200.456739,5697.99262510234,1,"pir_cat"
"simulation_ 19",2917374636.53768,2928751391.33443,2137.78629714256,2,"pir_cat"
"simulation_ 29",2694056941.69573,2612820020.18406,1753.27251652976,2,"pir_cat"
"simulation_ 110",2679066654.0042,2128640088.31235,-17651.020867085,3,"pir_cat"
"simulation_ 210",3134121595.63413,2894889099.41715,-48176.3479873775,3,"pir_cat"
"simulation_ 111",1424629905.28092,596730009.33042,-29047.9144319203,4,"edu"
"simulation_ 211",2200487253.9478,1806247072.25303,-22574.2693027349,4,"edu"
"simulation_ 112",2577653301.81035,2652942107.36336,8958.62254834173,5,"edu"
"simulation_ 212",2090383741.53021,1931962856.65856,-16261.3931701455,5,"edu"
"simulation_ 113",275748635.201637,286544562.758049,2791.42996775717,1,"edu"
"simulation_ 213",798886319.571085,940178582.636924,13206.7885617803,1,"edu"
"simulation_ 114",336697435.062049,-261807748.389034,-38794.8406921685,3,"edu"
"simulation_ 214",1353709860.93438,1334922888.40487,-7135.4268103495,3,"edu"
"simulation_ 115",918736023.582052,1087950872.80937,23456.3726185556,2,"edu"
"simulation_ 215",305426540.752664,241560920.104565,-7960.78212429578,2,"edu"
