"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","SEQN",115882.443693831,115882.443693831,115882.443693831,595.534456570678,114715.196158953,117049.69122871,115882.443693831,115882.443693831,115882.443693831,595.534456570678,114715.196158953,117049.69122871,0,0,0,0,0,0
"2","Incident First CVD",0.012110260961666,0.00990946811556237,0.0143110538077697,0.0083605045571149,-0.00427632797027918,0.0284968498936112,0.0111233566991192,0.0079850048035961,0.0142617085946423,0.00884060152584446,-0.00620422229153593,0.0284509356897743,-0.000986904262546802,-0.00192446331196627,-4.934521312734e-05,0.00191873271268955,-0.00474762037941832,0.00277381185432471
"3","Incident Recurrent CVD",0.015000722961045,0.0130262137277266,0.0169752321943633,0.0091754893786669,-0.00298323622114217,0.0329846821432321,0.0102796700931753,0.00382016063538081,0.0167391795509698,0.011784103094081,-0.0128171719712235,0.0333765121575742,-0.00472105286786964,-0.0092060530923458,-0.000236052643393481,0.0088972095692012,-0.022159583623504,0.0127174778877647
"4","Incident CVD",0.027110983922711,0.022935681843289,0.031286286002133,0.0151703319330254,-0.0026228666660188,0.0568448345114407,0.0214030267922945,0.0118051654389769,0.0310008881456121,0.0182860689046081,-0.0144376682607373,0.0572437218453264,-0.00570795713041644,-0.0111305164043121,-0.000285397856520821,0.00991787555260507,-0.0251469932135224,0.0137310789526895
"5","Life Years",4.88564804793934,4.84755432417015,4.92374177170854,0.0777453336109965,4.73326719406179,5.0380289018169,4.88336004192632,4.84879132142833,4.91792876242431,0.0736313335054096,4.73904262825572,5.02767745559692,-0.00228800601302649,-0.00581300928423252,0.00123699725817955,0.00766859366517897,-0.0173184495967773,0.0127424375707243
"6","effect_disc",4.83796545144591,4.79985664789966,4.87607425499216,0.0807044094181605,4.67978480898632,4.99614609390551,4.8381576973548,4.80040093056284,4.87591446414677,0.0796415946413263,4.6820601718578,4.9942552228518,0.000192245908888955,-0.000159790845394662,0.000544282663172571,0.00459101757001276,-0.00880614852833605,0.00919064034611396
"7","HCE_disc",39125.6944055441,37203.524620472,41047.8641906163,4086.9755821865,31115.2222644586,47136.1665466296,38714.7231910394,36861.0625111132,40568.3838709656,3975.88356097992,30921.9914115188,46507.45497056,-410.971214504714,-479.480319650694,-342.462109358734,217.306502193713,-836.891958804391,14.9495297949626
"8","Prod_cost",2508.33588947413,2368.58960106146,2648.08217788681,1202.21580346473,151.992914683269,4864.678864265,2487.58814269683,2348.03126075799,2627.14502463567,1206.99661517263,121.874776958469,4853.30150843519,-20.7477467773016,-20.9371532511356,-20.5583403034677,35.8665321636371,-91.0461498180304,49.5506562634271
"9","Food_cost",0,0,0,0,0,0,1678.24245470544,1626.48857454532,1729.99633486556,79.8149067645161,1521.80523744699,1834.67967196389,1678.24245470544,1626.48857454532,1729.99633486556,79.8149067645161,1521.80523744699,1834.67967196389
"10","Food_cost_disc",0,0,0,0,0,0,1584.04771607543,1535.53343617984,1632.56199597103,74.7947219059042,1437.45006113986,1730.64537101101,1584.04771607543,1535.53343617984,1632.56199597103,74.7947219059042,1437.45006113986,1730.64537101101
"11","Prod_cost_disc",2365.75775030538,2232.28028871812,2499.23521189263,1135.76393641822,139.660434925665,4591.85506568509,2346.12506502536,2213.02010582337,2479.23002422735,1139.85534236273,112.008593994403,4580.24153605632,-19.6326852800163,-20.0051876652827,-19.2601828947499,33.298872407992,-84.8984751996806,45.6331046396481
"12","Admin_costs",0,0,0,0,0,0,338.973614190671,329.275949214868,348.671279166475,14.9139954988038,309.742183013016,368.205045368327,338.973614190671,329.275949214868,348.671279166475,14.9139954988038,309.742183013016,368.205045368327
"13","Total_cost_health",39125.6944055441,37203.524620472,41047.8641906163,4086.9755821865,31115.2222644586,47136.1665466296,40637.7445213055,38842.2957862507,42433.1932563603,3911.14132198942,32971.9075302062,48303.5815124048,1512.05011576139,1385.32906574401,1638.77116577877,265.800012336737,991.082091581387,2033.01813994139
"14","Total_cost_societ",41491.4521558495,39435.8049091901,43547.0994025089,4740.07396618514,32200.9071821266,50781.9971295724,42983.8695863309,41055.3158920741,44912.4232805876,4589.09787521505,33989.2377509094,51978.5014217524,1492.41743048137,1365.32387807873,1619.51098288402,287.516437084902,928.885213794966,2055.94964716778
