"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"1","SEQN",0,0,0,0,0,0,1,"age_cat"
"2","Incident First CVD",-0.00608662901934638,-0.00709720883244553,-0.00507604920624722,0.00651502654624766,-0.0188560810499918,0.00668282301129905,1,"age_cat"
"3","Incident Recurrent CVD",-0.0099077910642654,-0.0145484748200376,-0.00526710730849318,0.0127334260009139,-0.0348653060260566,0.0150497238975258,1,"age_cat"
"4","Incident CVD",-0.0159944200836118,-0.0216456836524831,-0.0103431565147404,0.0127767856726378,-0.0410369200019819,0.00904807983475838,1,"age_cat"
"5","Life Years",0.0110777281370598,-0.00681150678271371,0.0289669630568334,0.0316216728906588,-0.0509007507286314,0.073056207002751,1,"age_cat"
"6","effect_disc",0.0107210048520207,-0.00150964124142872,0.0229516509454701,0.0220571046832256,-0.0325109203271015,0.0539529300311429,1,"age_cat"
"7","HCE_disc",-1741.17224060208,-2254.61184874948,-1227.73263245469,903.898062411281,-3512.81244292819,30.467961724029,1,"age_cat"
"8","Prod_cost",-6.92178659450712,-53.1686872015623,39.3251140125481,163.124539939878,-326.645884876668,312.802311687654,1,"age_cat"
"9","Food_cost",1668.83560988988,1636.09697981552,1701.57423996424,53.0376268406251,1564.88186128225,1772.7893584975,1,"age_cat"
"10","Food_cost_disc",1575.46455122589,1544.54309844972,1606.38600400207,50.0078094041845,1477.44924479369,1673.47985765809,1,"age_cat"
"11","Prod_cost_disc",-3.72965607254753,-45.0832081857857,37.6238960406907,150.657686752003,-299.018722106473,291.559409961378,1,"age_cat"
"12","Admin_costs",337.171809551268,330.622604122368,343.721014980167,10.5157669734005,316.560906283403,357.782712819133,1,"age_cat"
"13","Total_cost_health",171.46412017508,-304.50482976724,647.433070117401,854.430373396521,-1503.2194116821,1846.14765203226,1,"age_cat"
"14","Total_cost_societ",167.734464102535,-349.588037953023,685.056966158092,980.208526627161,-1753.4742480867,2088.94317629177,1,"age_cat"
"15","SEQN",0,0,0,0,0,0,2,"age_cat"
"16","Incident First CVD",0,0,0,0,0,0,2,"age_cat"
"17","Incident Recurrent CVD",-0.0117508760723157,-0.0229142083410157,-0.000587543803615784,0.0228521686987047,-0.056541126721777,0.0330393745771456,2,"age_cat"
"18","Incident CVD",-0.0117508760723157,-0.0229142083410157,-0.000587543803615784,0.0228521686987047,-0.056541126721777,0.0330393745771456,2,"age_cat"
"19","Life Years",-0.00538912304453454,-0.0105087899368424,-0.000269456152226726,0.0381216694649121,-0.0801075951957623,0.0693293491066932,2,"age_cat"
"20","effect_disc",-0.00387624523829519,-0.00620896136239924,-0.00154352911419113,0.0242647383357241,-0.0514351323763144,0.0436826418997241,2,"age_cat"
"21","HCE_disc",-1923.59530351004,-2761.58295972039,-1085.60764729969,1698.88209990325,-5253.40421932042,1406.21361230034,2,"age_cat"
"22","Prod_cost",-176.603146565836,-317.286306417093,-35.9199867145789,289.572770150177,-744.165776060183,390.959482928512,2,"age_cat"
"23","Food_cost",1471.48458547787,1447.52809913959,1495.44107181615,81.4233969563257,1311.89472744347,1631.07444351227,2,"age_cat"
"24","Food_cost_disc",1391.79851473223,1368.58855410589,1415.00847535858,76.7329027317515,1241.402025378,1542.19500408647,2,"age_cat"
"25","Prod_cost_disc",-160.484435631331,-288.153618064934,-32.8152531977273,262.226976664532,-674.449309893813,353.480438631152,2,"age_cat"
"26","Admin_costs",300.795822587782,294.378348119977,307.213297055587,17.2041256337393,267.075736345653,334.515908829911,2,"age_cat"
"27","Total_cost_health",-231.000966190019,-1039.36118730622,577.359254926186,1666.71776062047,-3497.76777700615,3035.76584462611,2,"age_cat"
"28","Total_cost_societ",-391.485401821352,-1327.51480537116,544.544001728456,1924.91845226884,-4164.32556826828,3381.35476462558,2,"age_cat"
"29","SEQN",0,0,0,0,0,0,0,"Female"
"30","Incident First CVD",-0.0120082277280822,-0.0140019869163825,-0.0100144685397818,0.0121293773836906,-0.0357818074001157,0.0117653519439514,0,"Female"
"31","Incident Recurrent CVD",-0.0157591279306039,-0.0213162423112998,-0.0102020135499079,0.0161799052718272,-0.0474717422633852,0.0159534864021775,0,"Female"
"32","Incident CVD",-0.027767355658686,-0.0353182292276823,-0.0202164820896897,0.0230859133132827,-0.0730157457527202,0.0174810344353481,0,"Female"
"33","Life Years",0.00271773279803915,-0.0245361287209578,0.0299715943170361,0.0523781670882593,-0.0999434746949491,0.105378940291027,0,"Female"
"34","effect_disc",0.00477329204675497,-0.0170077034478839,0.0265542875413938,0.0394391290605088,-0.0725274009118423,0.0820739850053522,0,"Female"
"35","HCE_disc",-2568.78071655484,-3555.7942165143,-1581.76721659538,1844.67032121902,-6184.33454614412,1046.77311303444,0,"Female"
"36","Prod_cost",-222.143426304253,-337.213192813482,-107.073659795025,325.775816252659,-860.664026159465,416.377173550959,0,"Female"
"37","Food_cost",1630.3193892978,1593.03661767957,1667.60216091603,62.630688962655,1507.563238931,1753.07553966461,0,"Female"
"38","Food_cost_disc",1540.50607696675,1504.97424853068,1576.03790540282,59.2809736088237,1424.31536869345,1656.69678524004,0,"Female"
"39","Prod_cost_disc",-200.731974920359,-304.315780436082,-97.1481694046364,299.403184409994,-787.562216363948,386.098266523229,0,"Female"
"40","Admin_costs",331.119453950971,323.242148082777,338.996759819164,12.7635667248079,306.102863170347,356.136044731594,0,"Female"
"41","Total_cost_health",-697.155185637119,-1640.75955129231,246.449180018075,1791.7156386026,-4208.91783729822,2814.60746602398,0,"Female"
"42","Total_cost_societ",-897.887160557478,-1945.07533172839,149.301010613436,2059.45522336603,-4934.4193983549,3138.64507723995,0,"Female"
"43","SEQN",0,0,0,0,0,0,1,"Female"
