"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status","perspective"
"1","No Policy",85792.619101757,4.0684645691808,NA,NA,NA,"ND","healthcare"
"2","Policy",85878.6999975134,4.07608875812858,86.0808957564586,0.00762418894778172,11290.4987462967,"ND","healthcare"
"3","No Policy",99568.1944089594,4.0684645691808,NA,NA,NA,"ND","societ"
"4","Policy",99617.2900223164,4.07608875812858,49.095613357058,0.00762418894778172,6439.45391350021,"ND","societ"
