"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","SEQN",116831.129130969,116831.129130969,116831.129130969,673.092562156644,115511.867709142,118150.390552796,116831.129130969,116831.129130969,116831.129130969,673.092562156644,115511.867709142,118150.390552796,0,0,0,0,0,0
"2","Incident First CVD",0.103927451549441,0.088448676075822,0.119406227023059,0.0295211788410923,0.0460659410208996,0.161788962077981,0.096363101343719,0.0828250301867054,0.109901172500733,0.0265415238454503,0.0443417146066364,0.148384488080802,-0.00756435020572151,-0.00950505452232636,-0.00562364588911666,0.0046725025592812,-0.0167224552219127,0.00159375481046965
"3","Incident Recurrent CVD",0.0598840164738891,0.0597477779565067,0.0600202549912715,0.014424253576952,0.0316124794630633,0.0881555534847149,0.0532613621844711,0.0491708753018478,0.0573518490670943,0.0141914335004376,0.0254461525236133,0.0810765718453288,-0.00662265428941801,-0.0108493796894236,-0.00239592888941239,0.00784404459769737,-0.0219969817009049,0.00875167312206884
"4","Incident CVD",0.16381146802333,0.148196454032329,0.179426482014331,0.0326580851380839,0.0998016211526852,0.227821314893974,0.14962446352819,0.1401768792538,0.159072047802581,0.025667325374022,0.099316505795107,0.199932421261273,-0.0141870044951395,-0.02035443421175,-0.00801957477852905,0.0110231507661476,-0.0357923799967889,0.00741837100650981
"5","Life Years",17.7673919880758,17.6705731001372,17.8642108760144,0.51234864713482,16.7631886396916,18.7715953364601,17.7327744475095,17.6374038397111,17.828145055308,0.522123370119074,16.7094126420761,18.7561362529429,-0.0346175405662911,-0.0360658207064695,-0.0331692604261126,0.036202426089283,-0.105574295701286,0.0363392145687036
"6","effect_disc",12.5355616749015,12.4290970660767,12.6420262837263,0.386278972500991,11.7784548887995,13.2926684610034,12.5184771418085,12.4138020696418,12.6231522139751,0.390448586439514,11.753197912387,13.2837563712299,-0.0170845330930319,-0.0188740697511822,-0.0152949964348816,0.0191277569177026,-0.054574936651729,0.0204058704656652
"7","HCE_disc",116923.91776546,116405.729375099,117442.10615582,7538.50155357842,102148.454720446,131699.380810473,114165.864216965,114018.749444817,114312.978989113,7412.19491621754,99637.9621811787,128693.766252751,-2758.0535484945,-3129.12716670734,-2386.97993028165,750.746092584854,-4229.51588996081,-1286.59120702818
"8","Prod_cost",11511.9663794892,10856.8001197736,12167.1326392047,2227.13146042752,7146.78871705124,15877.1440419271,11008.3991642465,10166.6938858244,11850.1044426686,2395.36617688286,6313.48145755609,15703.3168709369,-503.567215242688,-690.106233949248,-317.028196536127,390.148883628794,-1268.25902715512,261.124596669749
"9","Food_cost",0,0,0,0,0,0,6092.14444160461,5980.11353714699,6204.17534606222,241.313376328892,5619.17022399998,6565.11865920924,6092.14444160461,5980.11353714699,6204.17534606222,241.313376328892,5619.17022399998,6565.11865920924
"10","Food_cost_disc",0,0,0,0,0,0,4726.55818588246,4640.83676359336,4812.27960817156,177.772595010968,4378.12389966097,5074.99247210396,4726.55818588246,4640.83676359336,4812.27960817156,177.772595010968,4378.12389966097,5074.99247210396
"11","Prod_cost_disc",8795.77309166726,8219.25938820219,9372.28679513234,1780.72229124685,5305.55740082345,12285.9887825111,8407.99545188593,7681.6852544722,9134.30564929966,1912.71763510578,4659.0688870786,12156.9220166933,-387.777639781333,-537.574133729995,-237.981145832672,296.980458731035,-969.859338894161,194.304059331494
"12","Admin_costs",0,0,0,0,0,0,891.832438853692,875.378767098981,908.286110608402,32.8859954656388,827.37588774104,956.288989966344,891.832438853692,875.378767098981,908.286110608402,32.8859954656388,827.37588774104,956.288989966344
"13","Total_cost_health",116923.91776546,116405.729375099,117442.10615582,7538.50155357842,102148.454720446,131699.380810473,119784.254841701,119534.96497551,120033.544707893,7387.02836750963,105305.679241382,134262.83044202,2860.33707624166,2591.43855207262,3129.23560041069,689.736350870851,1508.45382853479,4212.22032394853
"14","Total_cost_societ",125719.690857127,125661.365544022,125778.016170231,8266.95679270838,109516.455543418,141922.926170835,128192.250293587,127715.229962365,128669.270624809,8229.71922103162,112062.000620365,144322.499966809,2472.55943646032,2053.86441834263,2891.25445457802,954.118471949245,602.487231439804,4342.63164148084
