"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"1","SEQN",0,0,0,0,0,0,1,"age_cat"
"2","Incident First CVD",-0.0012138224875791,-0.00236695385077924,-6.06911243789548e-05,0.00233517451328751,-0.00579076453362262,0.00336311955846443,1,"age_cat"
"3","Incident Recurrent CVD",0,0,0,0,0,0,1,"age_cat"
"4","Incident CVD",-0.0012138224875791,-0.00236695385077924,-6.06911243789548e-05,0.00233517451328751,-0.00579076453362262,0.00336311955846443,1,"age_cat"
"5","Life Years",-0.0028140856775315,-0.00714959055045413,0.00152141919539112,0.00935923764196917,-0.0211581914557911,0.0155300201007281,1,"age_cat"
"6","effect_disc",-0.00112562429944907,-0.00285257414520948,0.00060132554631135,0.00539600224875725,-0.0117017887070133,0.00945054010811514,1,"age_cat"
"7","HCE_disc",-413.251628621701,-533.332868137386,-293.170389106017,312.80738862059,-1026.35411031806,199.850853074655,1,"age_cat"
"8","Prod_cost",-31.5739051798427,-37.0938095634164,-26.0540007962691,40.5821080580335,-111.114836973588,47.967026613903,1,"age_cat"
"9","Food_cost",1702.29357770107,1660.13414412961,1744.45301127253,63.8419130359375,1577.16342815064,1827.42372725151,1,"age_cat"
"10","Food_cost_disc",1606.5007460898,1566.71806111098,1646.28343106862,60.221801668172,1488.46601482018,1724.53547735942,1,"age_cat"
"11","Prod_cost_disc",-29.5271757113251,-34.1803665567702,-24.8739848658799,37.7037808105706,-103.426586100044,44.3722346773934,1,"age_cat"
"12","Admin_costs",343.217989774347,334.779075317805,351.656904230889,12.7537982655775,318.220545173815,368.215434374879,1,"age_cat"
"13","Total_cost_health",1536.46710724244,1368.16426829139,1704.7699461935,359.86535573483,831.131010002179,2241.80320448271,1,"age_cat"
"14","Total_cost_societ",1506.93993153112,1343.29028342551,1670.58957963673,378.458795244642,765.160692851622,2248.71917021062,1,"age_cat"
"15","SEQN",0,0,0,0,0,0,2,"age_cat"
"16","Incident First CVD",0,0,0,0,0,0,2,"age_cat"
"17","Incident Recurrent CVD",-0.0252536795369977,-0.0492446750971456,-0.00126268397684988,0.0499064698101518,-0.123070360364895,0.0725630012908998,2,"age_cat"
"18","Incident CVD",-0.0252536795369977,-0.0492446750971456,-0.00126268397684988,0.0499064698101518,-0.123070360364895,0.0725630012908998,2,"age_cat"
"19","Life Years",0,0,0,0,0,0,2,"age_cat"
"20","effect_disc",0.00592387775955727,0.000296193887977863,0.0115515616311367,0.0117068020180287,-0.0170214541957789,0.0288692097148935,2,"age_cat"
"21","HCE_disc",-401.053322664575,-556.839816652835,-245.266828676316,334.368794338367,-1056.41615956777,254.309514238623,2,"age_cat"
"22","Prod_cost",26.3369766862014,1.31684883431006,51.3571045380927,52.0472879983667,-75.6757077905973,128.349661163,2,"age_cat"
"23","Food_cost",1573.64020955722,1480.15852091553,1667.1218981989,164.629983785353,1250.96544133792,1896.31497777651,2,"age_cat"
"24","Food_cost_disc",1486.39583718772,1399.90643105022,1572.88524332522,152.666256149904,1187.16997513391,1785.62169924154,2,"age_cat"
"25","Prod_cost_disc",23.4000626669473,1.17000313334736,45.6301222005472,46.2433412656863,-67.2368862137978,114.037011547692,2,"age_cat"
"26","Admin_costs",320.514134548685,305.341958864167,335.686310233202,27.5594632033024,266.497586670212,374.530682427158,2,"age_cat"
"27","Total_cost_health",1405.85664907183,1351.73173690559,1459.98156123807,286.1115978669,845.077917252707,1966.63538089096,2,"age_cat"
"28","Total_cost_societ",1429.25671173878,1397.36185910614,1461.15156437142,251.787971837305,935.752286937663,1922.7611365399,2,"age_cat"
"29","SEQN",0,0,0,0,0,0,1,"Female"
"30","Incident First CVD",0,0,0,0,0,0,1,"Female"
"31","Incident Recurrent CVD",0,0,0,0,0,0,1,"Female"
"32","Incident CVD",0,0,0,0,0,0,1,"Female"
"33","Life Years",0,0,0,0,0,0,1,"Female"
"34","effect_disc",-0.000296742968179449,-0.000578648787949925,-1.48371484089724e-05,0.000603532879403954,-0.0014796674118112,0.000886181475452301,1,"Female"
"35","HCE_disc",-361.715678311831,-430.76107621125,-292.670280412412,192.779771316882,-739.564030092919,16.1326734692568,1,"Female"
"36","Prod_cost",-5.9558539007674,-11.6139151064964,-0.297792695038369,12.1133574827145,-29.6980345668877,17.7863267653529,1,"Female"
"37","Food_cost",1712.19211435736,1668.71027050992,1755.67395820481,66.5778185528151,1581.69958999385,1842.68463872088,1,"Female"
"38","Food_cost_disc",1615.55768206369,1574.64644960535,1656.46891452203,62.6169430141229,1492.82847375601,1738.28689037137,1,"Female"
"39","Prod_cost_disc",-5.45045002161326,-10.6283775421459,-0.272522501080662,11.0854380670693,-27.1779086330691,16.2770085898426,1,"Female"
"40","Admin_costs",344.812010505752,336.174471692816,353.449549318689,13.2021408303755,318.935814478216,370.688206533288,1,"Female"
"41","Total_cost_health",1598.65401425761,1480.05984508692,1717.24818342831,241.810930058398,1124.70459134315,2072.60343717207,1,"Female"
"42","Total_cost_societ",1593.203564236,1469.43146754477,1716.97566092723,248.454486635309,1106.23277043079,2080.1743580412,1,"Female"
"43","SEQN",0,0,0,0,0,0,0,"Female"
"44","Incident First CVD",-0.00186315395035444,-0.00363315020319116,-9.31576975177218e-05,0.00352521165054848,-0.00877256878542946,0.00504626088472057,0,"Female"
"45","Incident Recurrent CVD",-0.00891276756461101,-0.0173798967509915,-0.000445638378230549,0.0170812310247728,-0.0423919803731657,0.0245664452439436,0,"Female"
"46","Incident CVD",-0.0107759215149655,-0.0210130469541826,-0.000538796075748271,0.0189264881252511,-0.0478718382404577,0.0263199952105268,0,"Female"
"47","Life Years",-0.00431947414088999,-0.0109742470697367,0.0023352987879567,0.0141695358223605,-0.0320917643527166,0.0234528160709366,0,"Female"
"48","effect_disc",0.000626407931623432,-0.000288491912509822,0.00154130777575669,0.00870403155141962,-0.016433493909159,0.0176863097724059,0,"Female"
"49","HCE_disc",-454.704076799211,-522.737019894212,-386.67113370421,344.40129078966,-1129.73060674694,220.322453148522,0,"Female"
