"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"1","SEQN",0,0,0,0,0,0,1,"age_cat"
"2","Incident First CVD",-394419.1307362,-460451.03058126,-328387.23089114,139354.468436027,-667553.888870812,-121284.372601588,1,"age_cat"
"3","Incident Recurrent CVD",-543897.1172192,-696098.78891711,-391695.44552129,303638.908085139,-1139029.37706607,51235.1426276714,1,"age_cat"
"4","Incident CVD",-938316.2479554,-1156549.81949837,-720082.67641243,409462.592350395,-1740862.92896218,-135769.566948625,1,"age_cat"
"5","Life Years",493782.450130901,-1090096.1223827,2077661.02264451,4350379.44872335,-8032961.26936687,9020526.16962867,1,"age_cat"
"6","effect_disc",56372.9968687612,-58000.508476824,170746.502214346,1323869.24202829,-2538410.71750668,2651156.7112442,1,"age_cat"
"7","HCE_disc",-95787802648.9871,-107705268651.681,-83870336646.2929,22921608951.028,-140714156193.002,-50861449104.9721,1,"age_cat"
"8","Prod_cost",-28186410747.2058,-39139524634.7158,-17233296859.6958,19504074071.7019,-66414395927.7416,10041574433.3299,1,"age_cat"
"9","Food_cost",4690475605.5232,4569515265.24978,4811435945.79662,294488226.083744,4113278682.39906,5267672528.64734,1,"age_cat"
"10","Food_cost_disc",4000741796.63757,3898294120.4293,4103189472.84584,226678178.114067,3556452567.534,4445031025.74114,1,"age_cat"
"11","Prod_cost_disc",-14510138907.5805,-20141746548.7839,-8878531266.37707,9746369123.26729,-33613022389.1844,4592744574.02341,1,"age_cat"
"12","Admin_costs",0,0,0,0,0,0,1,"age_cat"
"13","Total_cost_health",-91787060852.3495,-103602079178.835,-79972042525.8636,22815191508.0315,-136504836208.091,-47069285496.6079,1,"age_cat"
"14","Total_cost_societ",-106297199759.93,-123743825727.619,-88850573792.2407,31501792192.2183,-168040712456.678,-44553687063.1822,1,"age_cat"
"15","SEQN",0,0,0,0,0,0,2,"age_cat"
"16","Incident First CVD",-110880.6642208,-137204.55062093,-84556.77782067,69604.7055081915,-247305.887016855,25544.5585752554,2,"age_cat"
"17","Incident Recurrent CVD",-101182.6093444,-111579.80916425,-90785.40952455,74340.5685443927,-246890.12369141,44524.9050026097,2,"age_cat"
"18","Incident CVD",-212063.2735652,-227989.96014548,-196136.58698492,105877.15534512,-419582.498041636,-4544.04908876433,2,"age_cat"
"19","Life Years",451431.4180905,445239.791127515,457623.045053485,794765.886933467,-1106309.72029909,2009172.55648009,2,"age_cat"
"20","effect_disc",300202.164774165,235013.422932896,365390.906615434,400432.235912866,-484645.017615052,1085049.34716338,2,"age_cat"
"21","HCE_disc",-7889413191.09011,-9952323940.24905,-5826502441.93116,8851528660.51502,-25238409365.6995,9459582983.51933,2,"age_cat"
"22","Prod_cost",-5498203174.03206,-5869237202.24092,-5127169145.82321,4899039294.10184,-15100320190.4717,4103913842.40754,2,"age_cat"
"23","Food_cost",732819300.99036,722567184.621572,743071417.359148,63809520.3978179,607752641.010637,857885960.970083,2,"age_cat"
"24","Food_cost_disc",657854099.347109,650737112.2586,664971086.435619,49757811.8103351,560328788.198853,755379410.495366,2,"age_cat"
"25","Prod_cost_disc",-3997547191.85888,-4585795140.39951,-3409299243.31824,3595591054.54175,-11044905658.7607,3049811275.04295,2,"age_cat"
"26","Admin_costs",0,0,0,0,0,0,2,"age_cat"
"27","Total_cost_health",-7231559091.743,-9287352853.81343,-5175765329.67256,8863595043.56044,-24604205377.1215,10141087193.6355,2,"age_cat"
"28","Total_cost_societ",-11229106283.6019,-13873147994.2129,-8585064572.9908,11799951770.9638,-34357011754.691,11898799187.4872,2,"age_cat"
"29","SEQN",0,0,0,0,0,0,1,"Female"
"30","Incident First CVD",-328949.9236683,-383215.435663695,-274684.411672905,116381.128361912,-557056.935257647,-100842.912078953,1,"Female"
"31","Incident Recurrent CVD",-158387.3652194,-163335.70005162,-153439.03038718,82717.9961325717,-320514.637639241,3739.90720044052,1,"Female"
"32","Incident CVD",-487337.2888877,-536654.466050875,-438020.111724525,144641.257441861,-770834.153473748,-203840.424301651,1,"Female"
"33","Life Years",1489003.8471688,1373422.988018,1604584.7063196,2421517.78091952,-3257171.00343346,6235178.69777106,1,"Female"
"34","effect_disc",503908.827297019,230436.252882601,777381.401711437,1035289.6029125,-1525258.79441149,2533076.44900552,1,"Female"
"35","HCE_disc",-54721480701.8935,-60446603679.7903,-48996357723.9967,18453830185.07,-90890987864.6307,-18551973539.1563,1,"Female"
"36","Prod_cost",-18502160540.4004,-20873074095.2437,-16131246985.5571,9909784478.09298,-37925338117.4626,921017036.66185,1,"Female"
